도서명,저자,출판사,출판일자,가격,이미지,0,0,카테고리ID,재고,상태,ISBN,소개글
밤새들의 도시,김주혜,다산책방,2025-06-13,17820,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791130666808.jpg,1,2,12,100,ON_SALE,9791130666808.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
산 루이스 레이의 다리(신형철해제본),손턴 와일더,클레이하우스,2025-05-02,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193235515.jpg,2,3,12,100,ON_SALE,9791193235515.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
바움가트너,폴 오스터,열린책들,2025-04-30,16020,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932925042.jpg,0,0,12,100,ON_SALE,9788932925042.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
1984,조지 오웰,민음사,2007-03-30,9900,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937460777.jpg,1,3,12,100,ON_SALE,9788937460777.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
오닉스 스톰 1,레베카 야로스,북폴리오,2025-06-02,17100,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791173476136.jpg,0,0,12,100,ON_SALE,9791173476136.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
이처럼 사소한 것들,클레어 키건,다산책방,2023-11-27,12420,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791130646381.jpg,5,1,12,100,ON_SALE,9791130646381.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
멋진 신세계,올더스 헉슬리,소담출판사,2015-06-12,12420,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788973814725.jpg,0,0,12,100,ON_SALE,9788973814725.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,청미래,2022-11-10,12600,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788986836837.jpg,0,0,12,100,ON_SALE,9788986836837.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
프로젝트 헤일메리,앤디 위어,알에이치코리아,2021-05-04,19800,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788925588735.jpg,0,0,12,100,ON_SALE,9788925588735.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
버진 수어사이드,제프리 유제니디스,민음사,2025-02-07,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937464584.jpg,1,2,12,100,ON_SALE,9788937464584.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
동물 농장(초판본)(1945년 오리지널 초판본 표지 디자인),조지 오웰,더스토리,2020-08-20,2700,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791164453122.jpg,2,3,12,100,ON_SALE,9791164453122.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,2023-01-17,10800,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937460470.jpg,0,0,12,100,ON_SALE,9788937460470.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
동물농장,조지 오웰,민음사,2009-01-07,7200,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937460050.jpg,0,0,12,100,ON_SALE,9788937460050.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
스토너(초판본),존 윌리엄스,알에이치코리아,2020-06-24,16200,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788925538297.jpg,0,0,12,100,ON_SALE,9788925538297.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
포스 윙,레베카 야로스,북폴리오,2024-06-24,23400,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791168418455.jpg,5,3,12,100,ON_SALE,9791168418455.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
히든 픽처스,제이슨 르쿨락,문학수첩,2024-05-03,12600,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193790083.jpg,5,3,12,100,ON_SALE,9791193790083.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
침묵의 퍼레이드,히가시노 게이고,재인,2025-03-07,19620,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791192483238.jpg,1,2,13,100,ON_SALE,9791192483238.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
긴키 지방의 어느 장소에 대하여,세스지 외,반타,2025-04-10,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791194654063.jpg,0,0,13,100,ON_SALE,9791194654063.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
인간 실격,다자이 오사무,민음사,2012-04-10,8100,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937461033.jpg,3,3,13,100,ON_SALE,9788937461033.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
노르웨이의 숲,무라카미 하루키,민음사,2017-08-07,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937434488.jpg,5,3,13,100,ON_SALE,9788937434488.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
장미와 나이프,히가시노 게이고,반타,2025-06-16,16200,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791194930136.jpg,1,1,13,100,ON_SALE,9791194930136.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
귀신 저택,미야베 미유키,북스피어,2025-06-20,17820,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791192313764.jpg,0,0,13,100,ON_SALE,9791192313764.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
고백,미나토 가나에,비채,2018-08-23,13320,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788992036962.jpg,2,2,13,100,ON_SALE,9788992036962.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
용의자 X의 헌신,히가시노 게이고,재인,2017-08-30,16920,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788990982704.jpg,0,0,13,100,ON_SALE,9788990982704.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
헌등사,다와다 요코,민음사,2024-12-06,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937464522.jpg,0,0,13,100,ON_SALE,9788937464522.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
우중괴담,미쓰다 신조,북로드,2022-11-04,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791158791971.jpg,1,3,13,100,ON_SALE,9791158791971.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
여름은 오래 그곳에 남아,마쓰이에 마사시,비채,2016-08-19,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788934972204.jpg,4,2,13,100,ON_SALE,9788934972204.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
인간 실격(초판본)(1948년 오리지널 초판본 표지디자인),다자이 오사무,더스토리,2021-09-10,2700,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791164455263.jpg,5,2,13,100,ON_SALE,9791164455263.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
악의,히가시노 게이고,현대문학,2019-07-25,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788972750031.jpg,0,0,13,100,ON_SALE,9788972750031.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
금각사,미시마 유키오,웅진지식하우스,2017-04-07,11700,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788901215907.jpg,5,3,13,100,ON_SALE,9788901215907.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022-05-09,12600,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191043754.jpg,1,1,13,100,ON_SALE,9791191043754.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
당신이 누군가를 죽였다,히가시노 게이고,북다,2024-07-23,17820,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791170611561.jpg,4,1,13,100,ON_SALE,9791170611561.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
나미야 잡화점의 기적(무선 보급판),히가시노 게이고,현대문학,2022-12-19,13050,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791167901484.jpg,0,0,13,100,ON_SALE,9791167901484.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
말하고 싶은 비밀,사쿠라 이이요,모모,2023-12-08,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193358245.jpg,0,0,13,100,ON_SALE,9791193358245.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
남아 있는 나날,가즈오 이시구로,민음사,2021-08-06,12600,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937463884.jpg,0,0,13,100,ON_SALE,9788937463884.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,2021-06-28,12600,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191043297.jpg,1,1,13,100,ON_SALE,9791191043297.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
고독한 용의자,찬호께이,위즈덤하우스,2025-04-15,17550,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791171713608.jpg,3,1,14,100,ON_SALE,9791171713608.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
귀신들의 땅,천쓰홍,민음사,2023-12-29,16200,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937454820.jpg,2,1,14,100,ON_SALE,9788937454820.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
연매장,팡팡,문학동네,2025-04-18,15750,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791141609962.jpg,2,1,14,100,ON_SALE,9791141609962.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
삼체 1~3 세트,류츠신,자음과모음,2024-06-07,60300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954442688.jpg,4,1,14,100,ON_SALE,9788954442688.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
밤의 신이 내려온다,장자샹,민음사,2025-06-10,17100,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937428708.jpg,4,2,14,100,ON_SALE,9788937428708.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 10,묵향동후,B-Lab,2022-07-15,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864637.jpg,4,2,14,100,ON_SALE,9791127864637.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
13.67,찬호께이,한스미디어,2023-01-13,17100,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791160078572.jpg,1,2,14,100,ON_SALE,9791160078572.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
인생(위화 작가 등단 40주년 기념 리커버 특별판),위화,푸른숲,2023-09-05,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791156754312.jpg,1,1,14,100,ON_SALE,9791156754312.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 2,묵향동후,B-Lab,2022-06-10,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864552.jpg,0,0,14,100,ON_SALE,9791127864552.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 6,묵향동후,B-Lab,2022-07-15,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864590.jpg,0,0,14,100,ON_SALE,9791127864590.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 8,묵향동후,B-Lab,2022-07-15,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864613.jpg,0,0,14,100,ON_SALE,9791127864613.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 5,묵향동후,B-Lab,2022-06-10,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864583.jpg,2,2,14,100,ON_SALE,9791127864583.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 7,묵향동후,B-Lab,2022-07-15,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864606.jpg,0,0,14,100,ON_SALE,9791127864606.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 9,묵향동후,B-Lab,2022-07-15,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864620.jpg,0,0,14,100,ON_SALE,9791127864620.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
삼체 1: 삼체문제,류츠신,자음과모음,2022-02-15,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954442695.jpg,0,0,14,100,ON_SALE,9788954442695.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 3,묵향동후,B-Lab,2022-06-10,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864569.jpg,5,3,14,100,ON_SALE,9791127864569.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 4,묵향동후,B-Lab,2022-06-10,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864576.jpg,4,2,14,100,ON_SALE,9791127864576.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
동생,찬와이,민음사,2025-05-23,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937428869.jpg,3,1,14,100,ON_SALE,9788937428869.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
악녀서,천쉐,글항아리,2025-06-13,16650,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791169093972.jpg,0,0,14,100,ON_SALE,9791169093972.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
천관사복 1,묵향동후,B-Lab,2022-06-10,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791127864545.jpg,0,0,14,100,ON_SALE,9791127864545.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
이반 일리치의 죽음,레프 톨스토이,민음사,2023-12-08,10800,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937464386.jpg,0,0,15,100,ON_SALE,9788937464386.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
죄와 벌 1,도스토예프스키,민음사,2012-03-30,9900,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937462849.jpg,0,0,15,100,ON_SALE,9788937462849.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
죄와 벌 2,도스토예프스키,민음사,2012-03-30,9900,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937462856.jpg,1,2,15,100,ON_SALE,9788937462856.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
외투,니콜라이 고골,민음사,2017-06-30,7920,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937429156.jpg,0,0,15,100,ON_SALE,9788937429156.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
사람은 무엇으로 사는가(러시아 원전 번역본),레프 톨스토이,현대지성,2021-02-05,6930,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191280630.jpg,2,2,15,100,ON_SALE,9791191280630.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
카라마조프 가의 형제들 세트,표도로 도스토예프스키,민음사,2012-11-01,23400,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937486067.jpg,4,3,15,100,ON_SALE,9788937486067.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
사랑에 대하여,안톤 체호프,민음사,2025-01-20,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937464614.jpg,0,0,15,100,ON_SALE,9788937464614.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
이반 일리치의 죽음,레프 니꼴라예비치 똘스또이,창비,2012-10-05,9000,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936464073.jpg,3,1,15,100,ON_SALE,9788936464073.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
사람은 무엇으로 사는가,레프 톨스토이,문예출판사,2024-10-15,7200,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788931023893.jpg,4,3,15,100,ON_SALE,9788931023893.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
"이반 데니소비치, 수용소의 하루",알렉산드르 솔제니친,민음사,1998-09-30,7200,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937460135.jpg,0,0,15,100,ON_SALE,9788937460135.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
안나 카레니나 세트,레프 니콜라예비치 톨스토이,민음사,2012-11-01,27720,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937486074.jpg,0,0,15,100,ON_SALE,9788937486074.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
이반 일리치의 죽음 · 광인의 수기,레프 톨스토이,열린책들,2024-03-05,7920,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932923932.jpg,0,0,15,100,ON_SALE,9788932923932.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
"첫사랑, 짝사랑",이반 투르게네프,아르테(arte),2025-05-28,14400,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791173572975.jpg,0,0,15,100,ON_SALE,9791173572975.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
죄와 벌(상),표도르 미하일로비치 도스또예프스끼,열린책들,2009-11-30,10620,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932909158.jpg,0,0,15,100,ON_SALE,9788932909158.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
사람은 무엇으로 사는가,레프 니콜라예비치 톨스토이,더클래식,2020-05-30,2970,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791164452811.jpg,0,0,15,100,ON_SALE,9791164452811.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
첫사랑,이반 투르게네프,펭귄클래식코리아,2015-06-01,6930,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788901203607.jpg,0,0,15,100,ON_SALE,9788901203607.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
이반 일리치의 죽음(러시아어 원전 번역본),레프 톨스토이,현대지성,2023-03-24,6930,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791139710793.jpg,0,0,15,100,ON_SALE,9791139710793.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
대위의 딸,알렉산드르 뿌쉬낀,열린책들,2009-11-30,7920,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932909264.jpg,0,0,15,100,ON_SALE,9788932909264.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
